timestamps,X,Y,Z
1748875231.309,8.651,-7.649,-12.972
1748875231.369,-3.223,11.694,-16.127
1748875231.369,1.174,23.515,-26.199
1748875231.369,4.075,33.728,-11.649
1748875231.429,5.630,23.470,-12.905
1748875231.429,24.651,-7.380,-24.075
1748875231.429,27.193,-30.498,-20.830
1748875231.489,9.952,-22.490,-23.687
1748875231.489,-1.398,-8.531,-27.769
1748875231.489,-8.546,0.546,-9.331
1748875231.549,-32.950,-22.184,8.823
1748875231.549,-16.643,-29.481,2.811
1748875231.549,-6.789,-29.728,-11.477
1748875231.611,-4.516,-26.348,-13.907
1748875231.611,-6.909,6.961,-1.652
1748875231.611,-2.961,8.718,12.636
1748875231.672,3.065,-0.688,10.639
1748875231.672,4.823,-2.056,3.686
1748875231.672,0.097,0.950,2.609
1748875231.718,0.366,-1.839,3.103
1748875231.718,-21.114,6.355,10.752
1748875231.718,-60.420,15.843,35.612
1748875231.790,-73.579,21.840,38.722
1748875231.790,-43.223,13.204,20.539
1748875231.790,4.905,-6.759,-8.150
1748875231.851,63.216,-33.810,-18.475
1748875231.851,104.825,-37.496,-48.674
1748875231.851,86.948,-30.311,-46.648
1748875231.909,35.133,-26.012,-11.096
1748875231.909,8.322,-14.131,2.161
1748875231.909,10.879,-9.129,-2.961
1748875231.969,23.350,-7.851,-13.114
1748875231.969,21.189,-0.486,-15.484
1748875231.969,-4.426,7.252,-0.449
1748875232.029,-31.500,15.238,14.012
1748875232.029,-42.334,19.425,21.473
1748875232.029,-34.588,20.845,15.821
1748875232.090,-25.100,21.077,8.539
1748875232.090,-27.432,20.068,10.931
1748875232.090,-32.053,17.780,15.537
1748875232.137,-25.511,11.731,13.107
1748875232.137,-6.176,5.331,2.221
1748875232.137,11.230,-1.533,-7.021
1748875232.194,17.443,-5.712,-9.750
1748875232.194,16.397,-8.456,-7.185
1748875232.194,17.877,-9.481,-7.694
1748875232.269,21.997,-9.241,-10.909
1748875232.330,-2.886,3.290,0.464
1748875232.330,-14.198,8.546,6.445
1748875232.330,-18.901,12.501,7.634
1748875232.377,-21.339,15.589,8.023
1748875232.377,-25.795,17.488,10.482
1748875232.377,-28.958,17.526,12.636
1748875232.435,-26.146,15.462,11.783
1748875232.435,-17.518,11.933,7.223
1748875232.435,-7.716,7.327,2.482
1748875232.494,-0.456,2.856,-0.464
1748875232.494,5.196,-1.122,-2.579
1748875232.494,11.066,-4.583,-5.256
1748875232.557,16.217,-6.393,-8.015
1748875232.557,17.369,-6.408,-9.174
1748875232.557,13.451,-4.658,-7.335
1748875232.614,7.305,-1.705,-4.292
1748875232.614,0.404,1.981,-0.957
1748875232.614,-6.460,6.049,1.974
1748875232.674,-13.458,10.071,5.032
1748875232.674,-19.619,13.279,7.903
1748875232.674,-23.350,15.111,9.735
1748875232.734,-23.103,15.013,9.735
1748875232.734,-20.000,13.533,8.322
1748875232.734,-15.155,10.722,6.153
1748875232.797,-9.241,7.589,3.387
1748875232.797,-2.684,3.880,0.284
1748875232.797,3.245,0.389,-2.079
1748875232.854,8.187,-2.422,-4.419
1748875232.854,10.894,-3.970,-5.443
1748875232.854,11.282,-4.097,-6.064
1748875232.914,9.503,-3.006,-5.466
1748875232.914,6.228,-0.591,-3.768
1748875232.914,0.800,2.265,-1.473
1748875232.978,-6.071,5.750,1.645
1748875232.978,-12.314,8.980,4.980
1748875232.978,-16.299,11.529,6.438
1748875233.035,-18.154,12.516,7.140
1748875233.035,-18.617,12.718,7.514
1748875233.035,-17.204,11.664,7.036
1748875233.094,-13.825,9.653,5.563
1748875233.094,-8.299,6.849,2.991
1748875233.094,-2.572,3.738,0.262
1748875233.155,2.198,0.935,-1.981
1748875233.155,5.690,-1.129,-3.402
1748875233.155,8.262,-2.497,-4.396
1748875233.218,8.882,-2.430,-4.957
1748875233.218,7.073,-1.196,-4.090
1748875233.218,2.729,0.979,-2.079
1748875233.274,-1.847,3.596,-0.179
1748875233.274,-5.510,5.929,1.129
1748875233.274,-9.996,8.284,3.447
1748875233.334,-14.026,9.959,5.652
