timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874953.782,-759.766,-776.367,-814.453,-992.188,0.000
1748874953.786,139.160,145.020,280.273,-1000.000,0.000
1748874953.790,-1000.000,-1000.000,-990.723,29.297,0.000
1748874953.793,-1000.000,-1000.000,-1000.000,-791.504,0.000
1748874953.797,-56.152,-240.234,-252.930,524.902,0.000
1748874953.801,-777.344,-817.871,-829.102,-862.305,0.000
1748874953.805,245.117,262.695,309.082,-1000.000,0.000
1748874953.809,-986.816,-1000.000,-969.727,45.898,0.000
1748874953.813,-1000.000,-1000.000,-1000.000,-924.316,0.000
1748874953.817,-258.789,-258.789,-500.000,963.867,0.000
1748874953.821,-848.145,-843.750,-981.934,-292.969,0.000
1748874953.825,550.293,524.414,202.148,-1000.000,0.000
1748874953.829,-855.469,-872.559,-1000.000,154.297,0.000
1748874953.832,-1000.000,-1000.000,-974.609,-966.309,0.000
1748874953.836,-215.820,-209.961,-972.656,-931.641,0.000
1748874953.840,0.000,-939.453,-1000.000,228.516,0.000
1748874953.844,0.000,874.023,-1000.000,-1000.000,0.000
1748874953.848,0.000,-435.059,-998.047,2.930,0.000
1748874953.852,0.000,-1000.000,-997.559,-948.242,0.000
1748874953.856,0.000,-281.738,-1000.000,-933.594,0.000
1748874953.860,0.000,972.656,-876.465,222.168,0.000
1748874953.864,0.000,-957.520,-875.977,-1000.000,0.000
1748874953.868,0.000,-128.906,-1000.000,-113.770,0.000
1748874953.872,0.000,-1000.000,-936.035,996.582,0.000
1748874953.875,0.000,-524.902,-1000.000,-915.039,0.000
1748874953.879,0.000,840.332,-305.664,230.469,0.000
1748874953.883,0.000,-877.930,457.520,-1000.000,0.000
1748874953.887,11.719,-40.527,-731.934,-237.793,0.000
1748874953.891,-1000.000,-1000.000,-1000.000,993.164,0.000
1748874953.895,-641.113,-880.371,-1000.000,-913.574,0.000
1748874953.899,740.723,431.152,-279.785,216.797,0.000
1748874953.903,-888.184,-838.379,971.191,-1000.000,0.000
1748874953.907,81.543,15.137,-236.328,-400.391,0.000
1748874953.911,-1000.000,-1000.000,-1000.000,857.910,0.000
1748874953.914,-964.355,-1000.000,-1000.000,-871.582,0.000
1748874953.918,353.027,100.586,-262.695,380.859,0.000
1748874953.922,-832.031,-818.848,-955.078,-1000.000,0.000
1748874953.926,58.105,51.758,-103.027,-958.496,0.000
1748874953.930,-1000.000,-1000.000,-1000.000,367.676,0.000
1748874953.934,-1000.000,-1000.000,-1000.000,-802.246,0.000
1748874953.938,104.492,-126.953,-282.227,523.926,0.000
1748874953.942,-763.672,-792.969,-871.094,-857.910,0.000
1748874953.946,143.066,154.785,114.258,-1000.000,0.000
1748874953.950,-1000.000,-1000.000,-1000.000,133.301,0.000
1748874953.954,-1000.000,-1000.000,-1000.000,-857.910,0.000
1748874953.957,-60.547,-259.766,-343.262,778.809,0.000
1748874953.961,-780.762,-823.242,-871.582,-521.484,0.000
1748874953.965,341.797,259.766,275.879,-1000.000,0.000
1748874953.969,-945.312,-1000.000,-987.305,-109.375,0.000
1748874953.973,-1000.000,-1000.000,-1000.000,-955.566,0.000
1748874953.977,-250.977,-259.277,-539.062,986.328,0.000
1748874953.981,-850.586,-834.473,-971.191,-232.910,0.000
1748874953.985,550.781,441.406,508.789,-1000.000,0.000
1748874953.989,-855.469,-912.598,-896.484,-172.363,0.000
1748874953.993,-1000.000,-1000.000,-1000.000,-993.164,0.000
1748874953.997,-215.332,-351.074,-547.852,-945.801,0.000
1748874954.000,-920.898,-930.664,850.586,-57.617,0.000
1748874954.004,815.430,714.844,-940.430,-1000.000,0.000
1748874954.008,-540.039,-678.223,-217.773,-215.820,0.000
1748874954.012,-1000.000,-1000.000,-1000.000,980.469,0.000
1748874954.016,-179.199,-475.586,-625.977,-920.410,0.000
1748874954.020,-985.840,919.434,746.094,132.324,0.000
